id,type,capacity,work_start,work_end,lat,lon,edge_id
0,taxi,4,1080,1440,37.492282166912084,127.15374915477466,2827
1,taxi,4,1080,1440,37.55827535,127.20138049999998,23987
2,taxi,4,1080,1440,37.5598556,127.19563765000001,20306
3,taxi,4,1080,1440,37.55387895,127.18629630000001,13643
4,taxi,4,1080,1440,37.53609215,127.1953805,13462
5,taxi,4,1080,1440,37.57617012270938,127.17636272193083,26619
6,taxi,4,1080,1440,37.531391,127.14450604999999,2726
7,taxi,4,1080,1440,37.56856775,127.19869375,21625
8,taxi,4,1080,1440,37.5413621,127.2140064,6304
9,taxi,4,1080,1440,37.50114085,127.1476811,2979
10,taxi,4,1080,1440,37.5536517,127.1700251,16352
11,taxi,4,1080,1440,37.46986842437617,127.14039918045614,30335
12,taxi,4,1080,1440,37.51130948053372,127.12982163746841,22810
13,taxi,4,1080,1440,37.5511678,127.2030436,23592
14,taxi,4,1080,1440,37.469161650000004,127.15858724999998,22245
15,taxi,4,1080,1440,37.46981986425352,127.16626669365291,24361
16,taxi,4,1080,1440,37.55592085008069,127.18918141029394,15938
17,taxi,4,1080,1440,37.54483285,127.21241090000001,4029
18,taxi,4,1080,1440,37.559911199999995,127.1891349,26029
19,taxi,4,1080,1440,37.47703934233575,127.1423214670187,13997
20,taxi,4,1080,1440,37.5613636,127.19095885,15541
21,taxi,4,1080,1440,37.52529505,127.2268377,11539
22,taxi,4,1080,1440,37.58088755,127.2160693,5716
23,taxi,4,1080,1440,37.491091350000005,127.15570944999999,28751
24,taxi,4,1080,1440,37.55871955,127.19199025,24222
25,taxi,4,1080,1440,37.4679571,127.13718155000002,19976
26,taxi,4,1080,1440,37.573882999999995,127.17798945,12519
27,taxi,4,1080,1440,37.5112944,127.1338695,25502
28,taxi,4,1080,1440,37.495439149999996,127.15836974999999,16936
29,taxi,4,1080,1440,37.50347116646856,127.13124735260598,13782
30,taxi,4,1080,1440,37.541902500000006,127.2067796,14000
31,taxi,4,1080,1440,37.53511470380719,127.2639564713194,7099
32,taxi,4,1080,1440,37.4973215,127.1501322,2916
33,taxi,4,1080,1440,37.58385581512638,127.1580175357476,17219
34,taxi,4,1080,1440,37.5384928,127.19729195,27549
35,taxi,4,1080,1440,37.54756661073003,127.19844631437104,2043
36,taxi,4,1080,1440,37.547826400000005,127.25243119999999,26610
37,taxi,4,1080,1440,37.51913735409204,127.1371541175007,25652
38,taxi,4,1080,1440,37.53447855,127.15094375,8626
39,taxi,4,1080,1440,37.559491,127.2004676,19600
40,taxi,4,1080,1440,37.4589442,127.1678917,5179
41,taxi,4,1080,1440,37.55601292908855,127.19234802955755,23498
42,taxi,4,1080,1440,37.53907235673105,127.19683124073211,21722
43,taxi,4,1080,1440,37.57726825,127.18191935,11030
44,taxi,4,1080,1440,37.548051650000005,127.20985895,2170
45,taxi,4,1080,1440,37.58595146249056,127.21572735473944,30178
46,taxi,4,1080,1440,37.4730971816624,127.15443230171974,13852
47,taxi,4,1080,1440,37.504660799999996,127.13258480000002,27710
48,taxi,4,1080,1440,37.55714653607343,127.1796930531137,21025
49,taxi,4,1080,1440,37.53851485,127.18196965,24124
50,taxi,4,1080,1440,37.55378025421449,127.19595599827059,23554
51,taxi,4,1080,1440,37.591564,127.211112,6090
52,taxi,4,1080,1440,37.5448702694728,127.19409987131212,11327
53,taxi,4,1080,1440,37.47631323814819,127.14704178110334,14505
54,taxi,4,1080,1440,37.55797695,127.18787175,15462
55,taxi,4,1080,1440,37.51375380576135,127.143834420819,1427
56,taxi,4,1080,1440,37.49557352733536,127.15973598846503,16971
57,taxi,4,1080,1440,37.56238965029311,127.19052314317982,4837
58,taxi,4,1080,1440,37.54715757436188,127.16700206512735,23045
59,taxi,4,1080,1440,37.5611999,127.19280065000001,21183
60,taxi,4,1080,1440,37.48753325,127.14939679999999,28621
61,taxi,4,1080,1440,37.55295615210906,127.16536766050612,23088
62,taxi,4,1080,1440,37.54979555,127.15874300000002,11411
63,taxi,4,1080,1440,37.546453166388496,127.16789965167011,30076
64,taxi,4,1080,1440,37.55379045,127.17973595000001,12779
65,taxi,4,1080,1440,37.52296275,127.22414885,10144
66,taxi,4,1080,1440,37.525331,127.1413205,28093
67,taxi,4,1080,1440,37.536934,127.20982745,11529
68,taxi,4,1080,1440,37.57529185,127.16967555,2430
69,taxi,4,1080,1440,37.48676354741763,127.16038440662415,14592
70,taxi,4,1080,1440,37.48357635,127.14240935,24667
71,taxi,4,1080,1440,37.58881641422502,127.17196469539341,5930
72,taxi,4,1080,1440,37.5856481227135,127.16775447101452,14388
73,taxi,4,1080,1440,37.5395297,127.20973185000001,4085
74,taxi,4,1080,1440,37.55508315646112,127.20999829930858,21289
75,taxi,4,1080,1440,37.47235080782998,127.15107320343398,14782
76,taxi,4,1080,1440,37.578345702755335,127.18083178486721,10279
77,taxi,4,1080,1440,37.544287969473004,127.22173283880178,7089
78,taxi,4,1080,1440,37.469451025628494,127.1374811542445,17525
79,taxi,4,1080,1440,37.57207899416557,127.18906250102603,20776
